No,공동주택,빌링전용,공급전용,공동주택명,공동주택검사명,난방방식,공동주택계약,정기검사,지사,완성검사일자,기밀시험시행년도,정기검사기준월,주소,연락처,세대수,동수,사용여부,전용면적등록구분,도로명주소,위도,경도
26,4107,아니오,아니오,삼덕아이파크아파트,삼덕아이파크아파트,개별난방,아니오,예,중부안전팀,2003-06-05,2006.0, 6 월,중구 공평로10길 60 (삼덕동2가 29-1),252-1369,40,1.0,사용,등록,대구광역시 중구 공평로10길 60,35.86729101,128.603143319
27,4108,예,아니오,삼덕드림타운,,개별난방,아니오,예,,,,,중구 공평로4길 24-14 (삼덕동2가 149-51),,16,1.0,사용,등록,대구광역시 중구 공평로4길 24-14,35.864675322,128.600905917
28,4109,예,아니오,삼덕인베스트아파트,,개별난방,아니오,예,,,,,중구 공평로4길 37-10 (삼덕동2가 149-120),,14,1.0,사용,등록,대구광역시 중구 공평로4길 37-10,35.865541558,128.602247357
29,4110,아니오,아니오,클래식명가,삼덕클래식명가,개별난방,아니오,예,중부안전팀,2004-11-26,,11 월,중구 공평로 26-15 (삼덕동2가 139-12),422-1421,58,1.0,사용,등록,대구광역시 중구 공평로 26-15,35.866378514,128.600793779
30,4201,아니오,아니오,78태평아파트,`78동인태평,개별난방,아니오,예,중부안전팀,1989-07-21,2005.0, 7 월,중구 태평로 225 (동인동1가 116),427-7241,119,2.0,사용,등록,대구광역시 중구 태평로 225,35.873853049,128.601917433
31,4202,아니오,아니오,동부상가아파트,동인동부상가,개별난방,아니오,예,중부안전팀,1992-01-10,2004.0, 1 월,중구 국채보상로 749 (동인동4가 470-2),,66,2.0,사용,등록,대구광역시 중구 국채보상로 749,35.868602387,128.612652119
32,4203,아니오,아니오,금호아파트,동인금호,개별난방,아니오,예,중부안전팀,1992-12-29,2004.0,12 월,중구 국채보상로151길 9 (동인동4가 452-1),423-7125,,,사용,등록,대구광역시 중구 국채보상로151길 9,35.869072012,128.612056849
33,4204,아니오,아니오,협화동인빌라아파트,동인협화,개별난방,아니오,예,중부안전팀,1992-10-20,2004.0,10 월,중구 국채보상로143길 74-15 (동인동3가 341-2),427-9612,18,1.0,사용,등록,대구광역시 중구 국채보상로143길 74-15,35.872220808,128.609805092
34,4205,아니오,아니오,시티타운,동인시영,개별난방,아니오,예,중부안전팀,1997-05-27,2006.0, 5 월,중구 국채보상로131길 55 (동인동1가 33-1),424-7416,204,1.0,사용,등록,대구광역시 중구 국채보상로131길 55,35.872731839,128.602073872
35,4206,아니오,아니오,동인고려,동인고려맨션,개별난방,아니오,예,중부안전팀,1997-09-09,2006.0, 9 월,중구 동덕로38길 62 (동인동3가 48),,35,1.0,사용,미등록,대구광역시 중구 동덕로38길 62,,
36,4207,아니오,아니오,동인맨션아파트,동인맨션,개별난방,아니오,예,중부안전팀,1997-10-17,2006.0,10 월,중구 동덕로40길 77 (동인동3가 279-1),426-2383,44,1.0,사용,등록,대구광역시 중구 동덕로40길 77,35.871621217,128.609335668
37,4208,아니오,아니오,삼익맨션아파트,동인삼익맨션,개별난방,아니오,예,중부안전팀,1997-10-16,2006.0,10 월,중구 동덕로38길 100 (동인동3가 192),427-2801,80,4.0,사용,등록,대구광역시 중구 동덕로38길 100,35.870333921,128.609835568
38,4210,아니오,아니오,동남맨션,동남맨션,개별난방,아니오,예,중부안전팀,1998-08-21,2004.0, 8 월,중구 국채보상로143길 74 (동인동3가 343),,28,1.0,사용,등록,대구광역시 중구 국채보상로143길 74,35.872334962,128.609357672
39,4211,예,아니오,동인대흥아트타운,,개별난방,아니오,예,,,,,중구 국채보상로131길 60 (동인동1가 217),425-8945,18,1.0,사용,등록,대구광역시 중구 국채보상로131길 60,,
40,4302,아니오,아니오,대봉청호,대봉청호,개별난방,아니오,예,중부안전팀,1985-12-17,2004.0,12 월,중구 명륜로 166 (대봉동 55-159),422-9103,16,2.0,사용,미등록,대구광역시 중구 명륜로 166,,
41,4303,아니오,아니오,대봉삼익,대봉삼익,개별난방,아니오,예,중부안전팀,1986-02-11,2004.0, 2 월,중구 명륜로 172 (대봉동 44-4),424-1291,72,1.0,사용,미등록,대구광역시 중구 명륜로 172,,
42,4304,아니오,아니오,한양가든아파트,대봉한양가든(테라스),개별난방,아니오,예,중부안전팀,1986-07-01,2004.0, 7 월,중구 명륜로 173 (대봉동 24-37),425-9256,19,1.0,사용,등록,대구광역시 중구 명륜로 173,35.860959402,128.603130135
43,4305,아니오,아니오,광명맨션,대봉광명,개별난방,아니오,예,중부안전팀,1986-03-15,2004.0, 3 월,중구 대봉로43길 22 (대봉동 94-15),424-2585,24,1.0,사용,미등록,대구광역시 중구 대봉로43길 22,35.858098667,128.599809894
44,4306,아니오,아니오,송정맨션아파트,대봉송정,개별난방,아니오,예,중부안전팀,1986-10-29,2004.0,10 월,중구 명륜로 165 (대봉동 55-172),428-0040,16,1.0,사용,등록,대구광역시 중구 명륜로 165,,
45,4307,아니오,아니오,청운맨션아파트,대봉청운,열병합(Co-gen),아니오,예,중부안전팀,1986-11-14,2004.0,11 월,중구 동덕로 33 (대봉동 111-1),423-3227,670,7.0,사용,등록,대구광역시 중구 동덕로 33,35.857088765,128.603904308
46,4308,아니오,아니오,청구맨션아파트,대봉청구,개별난방,아니오,예,중부안전팀,1986-12-08,2004.0,12 월,중구 대봉로 254 (대봉동 55-3),426-9431,183,2.0,사용,등록,대구광역시 중구 대봉로 254,,
47,4309,아니오,아니오,대봉맨션아파트,대봉맨션A동,개별난방,아니오,예,중부안전팀,1991-10-15,2006.0,10 월,중구 명륜로 161 (대봉동 55-146),422-7897,46,1.0,사용,등록,대구광역시 중구 명륜로 161,,
48,4310,아니오,아니오,수도빌라,대봉수도빌라,개별난방,아니오,예,중부안전팀,1992-02-12,2004.0, 2 월,중구 명륜로26길 69 (대봉동 734-23),,16,1.0,사용,등록,대구광역시 중구 명륜로26길 69,35.856848624,128.597381621
49,4311,아니오,아니오,대봉맨션아파트,대봉맨션B동,개별난방,아니오,예,중부안전팀,1994-06-21,2006.0, 6 월,중구 명륜로 155 (대봉동 55-149),422-7897,38,1.0,사용,등록,대구광역시 중구 명륜로 155,35.860680749,128.601163602
50,4312,아니오,아니오,대봉화성그린빌아파트,대봉그린빌,개별난방,아니오,예,중부안전팀,1996-01-27,2005.0, 1 월,중구 대봉로 226 (대봉동 44-59),426-8466,19,1.0,사용,등록,대구광역시 중구 대봉로 226,35.858836436,128.601815298
51,4313,아니오,아니오,청운아트빌,대봉청운아트빌,개별난방,아니오,아니오,중부안전팀,2000-11-30,,11 월,중구 대봉로 220-41 (대봉동 44-13),,15,1.0,사용,등록,대구광역시 중구 대봉로 220-41,35.858731759,128.602441339
52,4314,아니오,아니오,대봉화성파크드림아파트,대봉화성파크드림,개별난방,아니오,예,중부안전팀,2006-05-04,, 5 월,중구 명덕로55길 25 (대봉동 152-24),431-3222,281,3.0,사용,등록,대구광역시 중구 명덕로55길 25,35.85679598,128.599541501
53,4401,아니오,아니오,대명거송빌라,대명거송빌라,개별난방,아니오,예,중부안전팀,1991-12-16,2006.0,12 월,남구 현충로25길 26-10 (대명동 1716-22),,10,2.0,사용,등록,대구광역시 남구 현충로25길 26-10,35.844618679,128.578508829
54,4402,아니오,아니오,까치아파트,남산까치(재개발),개별난방,아니오,예,중부안전팀,1992-06-04,2004.0, 6 월,중구 남산로7길 80 (남산동 2482-1),256-1360,435,2.0,사용,등록,대구광역시 중구 남산로7길 80,35.860296087,128.57923501
55,4403,아니오,아니오,보성송림아파트,보성송림아파트,개별난방,아니오,예,중부안전팀,1992-10-20,2004.0,10 월,중구 남산로4길 91 (남산동 2434),251-8062,317,3.0,사용,등록,대구광역시 중구 남산로4길 91,35.86088649,128.584954641
56,4404,아니오,아니오,보성황실아파트,남산보성황실,개별난방,아니오,예,중부안전팀,1993-02-17,2005.0, 2 월,중구 남산로13길 17 (남산동 2466-1),254-4759,"1,058",8.0,사용,등록,대구광역시 중구 남산로13길 17,35.861534175,128.580959613
57,4405,아니오,아니오,수도맨션아파트,남산수도맨션,개별난방,아니오,예,중부안전팀,1997-01-31,2006.0, 1 월,중구 명덕로 221 (남산동 2104-3),,,,사용,등록,대구광역시 중구 명덕로 221,35.856849392,128.594433712
58,4406,아니오,아니오,남산솔라맨션,남산솔라맨션,개별난방,아니오,예,중부안전팀,1998-09-22,2004.0, 9 월,중구 재마루길 77 (남산동 130-2),252-7220,48,1.0,사용,미등록,대구광역시 중구 재마루길 77,35.863368508,128.584058719
59,4407,아니오,아니오,심미한마음아파트,남산동한마음아파트(심미에셈빌),개별난방,아니오,예,중부안전팀,2002-12-27,2005.0,12 월,중구 남산로13길 70 (남산동 2483-1),256-3181,76,1.0,사용,등록,대구광역시 중구 남산로13길 70,35.860935077,128.5789442
60,4408,아니오,아니오,남산그린타운,남산그린타운,개별난방,아니오,예,중부안전팀,2005-03-17,, 3 월,중구 달구벌대로 1950 (남산동 2937-1),255-8998,804,8.0,사용,등록,대구광역시 중구 달구벌대로 1950,35.861531388,128.577832703
61,4409,예,아니오,남산모던아파트,,개별난방,아니오,예,,,,,중구 남산로7길 77 (남산동 2482-255),,12,1.0,사용,등록,대구광역시 중구 남산로7길 77,35.860005008,128.578995572
62,10101,아니오,아니오,보성아파트,신암보성,개별난방,아니오,예,중부안전팀,1985-11-22,2004.0,11 월,동구 큰고개로 23 (신암동 622),952-9977,545,9.0,사용,등록,대구광역시 동구 큰고개로 23,35.886887094,128.624465789
63,10102,아니오,아니오,동서타운,신암동서,개별난방,아니오,예,경산안전팀,1986-09-10,2004.0, 9 월,동구 아양로39길 16 (신암동 20),955-4982,220,4.0,사용,등록,대구광역시 동구 아양로39길 16,35.88703983,128.634895972
