No,공동주택,빌링전용,공급전용,공동주택명,공동주택검사명,난방방식,공동주택계약,정기검사,지사,완성검사일자,기밀시험시행년도,정기검사기준월,주소,연락처,세대수,동수,사용여부,전용면적등록구분,도로명주소,위도,경도
593,22514,아니오,아니오,화성센트럴파크,칠곡화성센트럴파크,개별난방,아니오,예,북부안전팀,2003-12-09,2006,12 월,북구 대천로 100 (동천동 950),311-0950,"1,440",12,사용,등록,대구광역시 북구 대천로 100,35.93503713,128.5599659
594,22515,아니오,아니오,영남네오빌아트,칠곡영남네오빌아트,개별난방,아니오,예,북부안전팀,2004-09-03,, 9 월,북구 동천로 97 (동천동 913),,813,7,사용,등록,대구광역시 북구 동천로 97,35.94165542,128.5598517
595,22516,아니오,아니오,칠곡네스빌,칠곡네스빌아파트,개별난방,아니오,예,북부안전팀,2004-10-27,,10 월,북구 동천로 155 (동천동 890),326-9193,512,4,사용,등록,대구광역시 북구 동천로 155,35.94503533,128.559306
596,22590,아니오,아니오,칠곡2차보성서한타운,동천보성서한2차,개별난방,아니오,예,북부안전팀,1995-10-06,2004,10 월,북구 팔거천동로 104 (동천동 872),324-6180,"1,244",6,사용,등록,대구광역시 북구 팔거천동로 104,35.93305955,128.5557076
597,22601,아니오,아니오,현대전원맨션,태전전원,개별난방,아니오,예,북부안전팀,1990-09-26,2006, 9 월,북구 칠곡중앙대로46길 25 (태전동 532-1),311-7118,288,2,사용,등록,대구광역시 북구 칠곡중앙대로46길 25,35.91914302,128.548687
598,22602,아니오,아니오,현대연립주택,태전현대빌라,개별난방,아니오,예,북부안전팀,1991-11-23,2006,11 월,북구 칠곡중앙대로46길 23 (태전동 541-5),,,,사용,등록,대구광역시 북구 칠곡중앙대로46길 23,35.91840427,128.5496595
599,22603,아니오,아니오,협화맨션,태전협화,개별난방,아니오,예,북부안전팀,1992-03-13,2004, 3 월,북구 칠곡중앙대로51길 6 (태전동 881-3),312-1806,416,5,사용,등록,대구광역시 북구 칠곡중앙대로51길 6,35.91794662,128.5458153
600,22604,아니오,아니오,제림은마아파트,태전은마,개별난방,아니오,예,북부안전팀,1989-11-20,2005,11 월,북구 태전로 51 (태전동 254-3),311-2597,150,2,사용,등록,대구광역시 북구 태전로 51,35.92483147,128.5429854
601,22605,아니오,아니오,1차두성타운아파트,태전두성,개별난방,아니오,예,북부안전팀,1992-06-26,2004, 6 월,북구 태전로7길 10-17 (태전동 256-1),312-0843,285,2,사용,등록,대구광역시 북구 태전로7길 10-17,35.92394213,128.5429861
602,22606,아니오,아니오,태전우방타운,태전우방,개별난방,아니오,예,북부안전팀,1992-09-28,2004, 9 월,북구 매천로 220 (태전동 169-2),311-9772,499,5,사용,등록,대구광역시 북구 매천로 220,35.91756694,128.5431738
603,22607,아니오,아니오,태전동신원아파트,태전신원빌라,개별난방,아니오,예,북부안전팀,1992-11-02,2004,11 월,북구 칠곡중앙대로53길 35-1 (태전동 682-6),,19,1,사용,등록,대구광역시 북구 칠곡중앙대로53길 35-1,35.91798087,128.543028
604,22608,아니오,아니오,두성2차파크아파트,태전두성파크(2차),개별난방,아니오,예,북부안전팀,1993-02-18,2005, 2 월,북구 학정로13길 16 (태전동 489),312-3566,180,1,사용,등록,대구광역시 북구 학정로13길 16,35.91494237,128.5499331
605,22609,아니오,아니오,태전2차우방타운,태전우방2차,개별난방,아니오,예,북부안전팀,1993-09-10,2005, 9 월,북구 칠곡중앙대로53길 29 (태전동 678),312-0199,96,2,사용,등록,대구광역시 북구 칠곡중앙대로53길 29,35.91815073,128.5440155
606,22610,아니오,아니오,태원빌라,태전태원빌라,개별난방,아니오,아니오,북부안전팀,1993-07-21,, 7 월,북구 칠곡중앙대로53길 43 (태전동 682-2),311-1500,16,1,사용,등록,대구광역시 북구 칠곡중앙대로53길 43,35.917763,128.5425855
607,22611,아니오,아니오,삼성아파트,태전삼성,개별난방,아니오,예,북부안전팀,1994-03-28,2006, 3 월,북구 칠곡중앙대로52길 20 (태전동 608-5),313-1553,735,7,사용,등록,대구광역시 북구 칠곡중앙대로52길 20,35.92074656,128.549347
608,22612,아니오,아니오,태전미진타운,태전미진,개별난방,아니오,예,북부안전팀,1993-05-18,2005, 5 월,북구 칠곡중앙대로52길 46 (태전동 1075-10),312-5047,297,3,사용,등록,대구광역시 북구 칠곡중앙대로52길 46,35.92233563,128.5495407
609,22613,아니오,아니오,현대아파트,태전현대1차,중앙난방(가스),아니오,예,북부안전팀,1993-04-14,2005, 4 월,북구 구암로16길 7 (태전동 997),312-4801,441,4,사용,등록,대구광역시 북구 구암로16길 7,35.93064317,128.5498851
610,22614,아니오,아니오,칠곡에덴타운,태전에덴,개별난방,아니오,예,북부안전팀,1993-01-06,2005, 1 월,북구 구암로22길 14 (태전동 997-1),321-9410,480,4,사용,등록,대구광역시 북구 구암로22길 14,35.93146694,128.5511824
611,22615,아니오,아니오,롯데아파트,태전롯데,개별난방,아니오,예,북부안전팀,1993-05-04,2005, 5 월,북구 구암로 12 (태전동 936),322-3929,390,4,사용,등록,대구광역시 북구 구암로 12,35.9329577,128.5411189
612,22616,아니오,아니오,칠곡대백맨션,태전대백,개별난방,아니오,예,북부안전팀,1993-07-14,2005, 7 월,북구 관음로 24 (태전동 1066),312-6206,430,3,사용,등록,대구광역시 북구 관음로 24,35.93198875,128.541227
613,22617,아니오,아니오,한신중앙아파트,태전한신중앙(한신2차),개별난방,아니오,예,북부안전팀,1993-10-26,2005,10 월,북구 영송로 85 (태전동 936-1),321-7458,892,6,사용,등록,대구광역시 북구 영송로 85,35.93189463,128.5437621
614,22618,아니오,아니오,태전3차두성아파트,태전두성3차,개별난방,아니오,예,북부안전팀,1993-11-26,2005,11 월,북구 태전로13길 22 (태전동 215-2),312-7618,137,1,사용,등록,대구광역시 북구 태전로13길 22,35.92386952,128.5417631
615,22619,아니오,아니오,태원2차빌라,태전태원빌라2차,개별난방,아니오,아니오,북부안전팀,1994-07-08,2006, 7 월,북구 태전로13길 10 (태전동 254-24),,15,1,사용,등록,대구광역시 북구 태전로13길 10,35.92531875,128.5425034
616,22620,아니오,아니오,태원빌라,태전태원빌라3차,개별난방,아니오,예,북부안전팀,1994-08-23,2006, 8 월,북구 태전로13길 5 (태전동 254-7),053-311-1500,16,1,사용,등록,대구광역시 북구 태전로13길 5,35.92506469,128.542913
617,22621,아니오,아니오,태전중석타운,태전중석,개별난방,아니오,예,북부안전팀,1994-12-19,2006,12 월,북구 학정로7길 3 (태전동 695),312-9742,448,4,사용,등록,대구광역시 북구 학정로7길 3,35.91430068,128.5463107
618,22622,아니오,아니오,태전동문화주택,태전하이츠빌라,개별난방,아니오,아니오,북부안전팀,1995-02-21,, 2 월,북구 칠곡중앙대로51길 38-19 (태전동 881-72),,16,2,사용,등록,대구광역시 북구 칠곡중앙대로51길 38-19,35.91753305,128.5443308
619,22623,아니오,아니오,남도빌라,태전남도빌라,개별난방,아니오,아니오,북부안전팀,1995-02-15,, 2 월,북구 태전로13길 20-1 (태전동 215),,16,2,사용,등록,대구광역시 북구 태전로13길 20-1,35.924333,128.5415411
620,22624,아니오,아니오,태전평안맨션,태전평안타운,개별난방,아니오,예,북부안전팀,1995-04-17,2004, 4 월,북구 태전로1길 21 (태전동 205-1),312-0091,98,1,사용,등록,대구광역시 북구 태전로1길 21,35.91982233,128.5436524
621,22625,아니오,아니오,태전대백맨션,태전대백2차,개별난방,아니오,예,북부안전팀,1995-06-20,2004, 6 월,북구 관음로 18 (태전동 1066-23),324-4193,270,3,사용,등록,대구광역시 북구 관음로 18,35.93076245,128.5397168
622,22626,아니오,아니오,칠곡관음타운,태전관음타운,개별난방,아니오,예,북부안전팀,1995-09-14,2004, 9 월,북구 영송로 63 (태전동 1065-1),324-3398,772,6,사용,등록,대구광역시 북구 영송로 63,35.93081198,128.5442866
623,22627,아니오,아니오,태전한라아파트,태전한라,개별난방,아니오,예,북부안전팀,1996-10-16,2005,10 월,북구 태전로7길 13 (태전동 166),311-1492,284,4,사용,등록,대구광역시 북구 태전로7길 13,35.92234767,128.5433798
624,22628,아니오,아니오,태전신흥빌라,태전신흥빌라,개별난방,아니오,예,북부안전팀,1997-01-17,2006, 1 월,북구 칠곡중앙대로69길 14-3 (태전동 969-21),324-2398,25,2,사용,미등록,대구광역시 북구 칠곡중앙대로69길 14-3,35.92704396,128.545643
