시도,시군구,읍면,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,사용승인일,동수,세대수,난방방식,난방연료,난방공급업체,고시지역명,고시지역여부,위도,경도
대구광역시,중구,,대신동,A10028088,대신센트럴자이,아파트,"대구광역시 중구 대신동 115-30,대구광역시 중구 대신동 1748 대신센트럴자이",대구광역시 중구 달구벌대로 1955,20150415,13,1147,개별난방,도시가스,대성에너지,,False,35.863873467,128.577714793
대구광역시,중구,,대신동,A10026060,이편한세상 대신아파트,아파트,대구광역시 중구 대신동 1916 이편한세상 대신아파트,대구광역시 중구 달구벌대로 1943,20180824,7,467,개별난방,도시가스,대성에너지,,False,35.863602293,128.576826855
대구광역시,중구,,대신동,A10023064,청라힐지웰더센트로,,대구광역시 중구 대신동 103-9 청라힐지웰더센트로,대구광역시 중구 달성로 71,20230728,1,159,개별난방,도시가스,대성에너지,,False,35.871393545,128.581892492
대구광역시,중구,,대신동,A70032001,태왕아너스스카이,아파트,대구광역시 중구 대신동 305-1 태왕아너스스카이,대구광역시 중구 달구벌대로 1975,20061220,6,492,개별난방,도시가스,대성에너지,,False,35.864509267,128.579766215
대구광역시,중구,,달성동,A10023152,달성파크푸르지오힐스테이트,아파트,대구광역시 중구 달성동 12-11 달성파크푸르지오힐스테이트,대구광역시 중구 달성로 123,20230629,18,1501,개별난방,도시가스,대성에너지,,False,35.87755091,128.58030646
대구광역시,중구,,남산동,A10022082,SK허브스카이,아파트,대구광역시 중구 남산동 654-1 SK허브스카이,대구광역시 중구 중앙대로 323,20060929,1,134,개별난방,도시가스,대성에너지,,False,35.862318112,128.59264989
대구광역시,중구,,남산동,A70044005,극동스타클래스남산,아파트,대구광역시 중구 남산동 3000 극동스타클래스남산,대구광역시 중구 남산로 30,20140627,10,946,개별난방,도시가스,대성에너지,,False,35.859174769,128.583167543
대구광역시,중구,,남산동,A70075301,까치아파트,아파트,"대구광역시 중구 남산동 2482-1,대구광역시 중구 남산동 2482-459 까치아파트",대구광역시 중구 남산로7길 80,19920630,3,690,개별난방,도시가스,대성에너지,,False,35.860296087,128.57923501
대구광역시,중구,,남산동,A70044004,남산그린타운,아파트,대구광역시 중구 남산동 2937-1 남산그린타운,대구광역시 중구 달구벌대로 1950,20050427,8,804,개별난방,도시가스,대성에너지,,False,35.861531388,128.577832703
대구광역시,중구,,남산동,A10024121,남산롯데캐슬센트럴스카이,아파트,대구광역시 중구 남산동 3020 남산롯데캐슬센트럴스카이,대구광역시 중구 재마루길 77,20210916,11,987,개별난방,도시가스,대성에너지,,False,35.863368508,128.584058719
