번지순번,정제된 도로명주소,위도,경도
10225848,대구광역시 북구 동천로23길 58,35.9436309,128.5549848
10225677,대구광역시 북구 대천로18길 6,35.9364318,128.5580567
10225683,대구광역시 북구 동천로 53,35.9363389,128.5593488
10225735,대구광역시 북구 대천로18길 11,35.9358626,128.5580889
10225744,대구광역시 북구 대천로18길 28,35.9347118,128.5572107
10225770,대구광역시 북구 팔거천동로26길 4,35.9355575,128.5565649
10225806,대구광역시 북구 동암로 64,35.9445226,128.5576551
10228952,대구광역시 북구 칠곡중앙대로54길 35,35.9228684,128.5478857
10228947,대구광역시 북구 칠곡중앙대로 300-6,35.9223303,128.5474081
10229443,대구광역시 북구 칠곡중앙대로52길 20,35.920173,128.5491599
10212579,대구광역시 북구 동변로14길 12,35.9188657,128.6055302
10212580,대구광역시 북구 동변로 50,35.9172276,128.6049298
10643507,대구광역시 북구 태전로13길 12-2,35.9250741,128.5419577
10229206,대구광역시 북구 칠곡중앙대로43길 14,35.9153286,128.5468683
10229446,대구광역시 북구 칠곡중앙대로52길 38,35.9218419,128.5495878
10217569,대구광역시 북구 칠곡중앙대로 508,35.9407694,128.5506085
10217699,대구광역시 북구 대천로 31,35.937851,128.5530113
10226802,대구광역시 북구 관음중앙로 117,35.9443034,128.5451762
10218242,대구광역시 북구 관음중앙로34길 4,35.9445844,128.5494464
10218294,대구광역시 북구 대천로 3,35.9384678,128.5501319
10217157,대구광역시 북구 관음중앙로 164,35.9447531,128.5502004
10220674,대구광역시 북구 학정로 524,35.9513321,128.5655749
10220685,대구광역시 북구 학정로 504,35.9495867,128.5652331
10218128,대구광역시 북구 관음동로32길 18-4,35.9469899,128.548232
10218444,대구광역시 북구 구암로17길 12,35.93347809999999,128.5507786
10218529,대구광역시 북구 구암로 101,35.9324759,128.5517849
10222968,대구광역시 북구 학남로 100,35.9449455,128.56813
10218399,대구광역시 북구 구암로21길 54,35.9368594,128.5542084
10218446,대구광역시 북구 구암로17길 10,35.9332611,128.5507489
10218484,대구광역시 북구 칠곡중앙대로86길 32-19,35.9328528,128.5515572
10218548,대구광역시 북구 동암로7길 21,35.9480451,128.5557032
10219652,대구광역시 북구 학정동 49 6755부대 본청사서함1호 군수처,35.9551919,128.569812
10219652,대구광역시 북구 구리로 183-28,35.9494205,128.5717447
10223029,대구광역시 북구 동암로37길 20-5,35.9451088,128.5717331
10223336,대구광역시 북구 구리로34길 49-5,35.9470466,128.5768554
10223201,대구광역시 북구 학남로17길 8-12,35.944208,128.5702802
10230502,대구광역시 북구 칠곡중앙대로80길 8,35.9304181,128.5490136
10223329,대구광역시 북구 구리로38길 7,35.9474175,128.5757021
10643496,대구광역시 북구 구리로 202,35.9485091,128.5769592
10230745,대구광역시 북구 태암로 18-1,35.9283901,128.5499405
10226488,대구광역시 북구 관음로 61-26,35.9353573,128.5372152
10198329,대구광역시 북구 신천동로 734-1,35.8850124,128.6028301
10198330,대구광역시 북구 신천동로 734,35.88492610000001,128.6028313
10230918,대구광역시 북구 칠곡중앙대로77길 6-1,35.930833,128.5474098
20061633,대구광역시 북구 칠곡중앙대로 371,35.9288707,128.5475143
10227627,대구광역시 북구 칠곡중앙대로95길 12,35.9396381,128.5484459
10227639,대구광역시 북구 칠곡중앙대로91길 10,35.936732,128.5478991
10227642,대구광역시 북구 칠곡중앙대로 471,35.9377725,128.5489219
10224646,대구광역시 북구 학정로 440,35.943738,128.5642445
10224649,대구광역시 북구 학정로 430,35.942978,128.5640335
10224650,대구광역시 북구 학정로 426,35.9426619,128.5639747
10224460,대구광역시 북구 태암로 74-1,35.9275305,128.5556887
10232225,대구광역시 북구 매천로18길 34,35.9025772,128.5431863
10232234,대구광역시 북구 매천로 77-1,35.9040231,128.540488
10232246,대구광역시 북구 칠곡중앙대로 45,35.9009481,128.5462737
10223699,대구광역시 북구 구암로60길 38,35.9387065,128.5699898
10223713,대구광역시 북구 구암로54길 8,35.9346544,128.5673976
10223716,대구광역시 북구 구암로50길 16-2,35.9341384,128.5674549
10227608,대구광역시 북구 구암로 17,35.9354866,128.5431175
10227610,대구광역시 북구 구암로 47,35.9352369,128.5462103
10227379,대구광역시 북구 관음동로17길 11,35.9396005,128.5458533
10224845,대구광역시 북구 구암로39길 12-1,35.9325105,128.5622511
10224867,대구광역시 북구 구암로41길 7,35.9323626,128.5632305
10225135,대구광역시 북구 구암로 270,35.935311,128.5665866
10224475,대구광역시 북구 태암남로11길 22,35.9269318,128.5541539
10224304,대구광역시 북구 태암남로11길 7,35.9257604,128.5531787
10224094,대구광역시 북구 팔거천동로 80-1,35.9313998,128.5552989
10227619,대구광역시 북구 칠곡중앙대로 419,35.9332467,128.5480935
10226930,대구광역시 북구 관음중앙로 87,35.9417815,128.5444456
10225089,대구광역시 북구 구암로54길 11-22,35.9357758,128.5680326
10225154,대구광역시 북구 구암로50길 7,35.9335832,128.566723
