시설물번호,사용계약번호,고객명,상품명,용도,업종분류,업종,도로명주소_풀주소,위도,경도,전년동월판매량,당년판매량,증감,증감률,상태,비교기준월
1220000937,6003386444,강유경,일반용(1),영업용,음식점업,기타 음식점,대구광역시 중구 큰장로 74,35.8659674,128.5752546,229.4712,,,,해지,Dec-24
1220000939,1230000939,서애숙,일반용(1),영업용,음식점업,기타 음식점,대구광역시 중구 큰장로 74,35.8659674,128.5752546,35.6076,39.548,3.940400000000004,11.066176883586662,유지,Dec-24
1220001060,6002907143,햇님제과점,일반용(1),영업용,다과점업,제과점,대구광역시 중구 달구벌대로389길 70,35.8662844,128.5757687,34.6185,26.6949,-7.923599999999997,-22.88834004939555,유지,Dec-24
1220002701,1230002701,청운맨션 입주자 대표회의,미사용-열병합 집단용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,0.0,0.0,,유지,Dec-24
1220002701,1230002701,청운맨션 입주자 대표회의,열전용설비용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,0.0,0.0,,유지,Dec-24
1220002701,1230002701,청운맨션 입주자 대표회의,자가열전용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,97549.0,87175.0,-10374.0,-10.634655403950836,유지,Dec-24
1220002704,1230002701,청운맨션 입주자 대표회의,미사용-열병합,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,0.0,0.0,,유지,Dec-24
1220002704,1230002701,청운맨션 입주자 대표회의,열병합용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,40959.0,53586.0,12627.0,30.82838936497473,유지,Dec-24
1220003259,1230003259,주현준,일반용(1),공동주택,공동주택,아파트,대구광역시 중구 동덕로 33,35.8579894,128.6036162,,,,,해지,Dec-24
1220008782,6003114948,화성함바식당,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 신암남로23길 17,35.8819944,128.6274838,,,,,해지,Dec-24
1220008782,6004036609,찬을담따,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 신암남로23길 17,35.8819944,128.6274838,,105.7909,,,신규,Dec-24
1220010093,6001161444,오리와친구들,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 아양로10길 9,35.8814662,128.6205486,159.2451,131.4971,-27.74800000000002,-17.4247119691595,유지,Dec-24
1220011927,6003986690,휴미,업무난방용,공동주택,공동주택,아파트,대구광역시 동구 신암남로 10,35.8773791,128.6175994,,0.0,,,신규,Dec-24
1220012805,6001964092,네네치킨(신암점),일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 신암로 132,35.8807017,128.6137868,122.6484,127.5423,4.893900000000002,3.9901865821323415,유지,Dec-24
1220013985,6002789062,보노보노,업무난방용,영업용,음식점업,한식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,3.9564,3.9548,-0.0015999999999998238,-0.04044080477201051,유지,Dec-24
1220013987,6002389713,츤데레,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,,,,,해지,Dec-24
1220013987,6003228680,엔에이엔에이(NANA),일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,,,,,해지,Dec-24
1220013987,6003471064,네코,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,,,,,해지,Dec-24
1220013987,6003642000,바우(BOW),일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,9.891,,,,해지,Dec-24
1220013987,6004035502,이지환,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,,1.9774,,,신규,Dec-24
1220018978,1230018978,더불어 포차,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 장등로 28,35.8697985,128.6238377,,,,,해지,Dec-24
1220018978,6003157773,청년포차,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 장등로 28,35.8697985,128.6238377,20.7711,8.8983,-11.8728,-57.16018891633085,유지,Dec-24
