시설물번호,사용계약번호,고객명,상품명,용도,업종분류,업종,도로명주소_풀주소,위도,경도,전년동월판매량,당년판매량,증감,증감률,상태,비교기준월
1220000937,6003386444,강유경,일반용(1),영업용,음식점업,기타 음식점,대구광역시 중구 큰장로 74,35.8659674,128.5752546,258.1551,,,,해지,Jan-25
1220000939,1230000939,서애숙,일반용(1),영업용,음식점업,기타 음식점,대구광역시 중구 큰장로 74,35.8659674,128.5752546,35.6076,43.5028,7.895200000000003,22.172794571945325,유지,Jan-25
1220001060,6002907143,햇님제과점,일반용(1),영업용,다과점업,제과점,대구광역시 중구 달구벌대로389길 70,35.8662844,128.5757687,43.5204,36.5819,-6.938500000000005,-15.943097949467386,유지,Jan-25
1220002701,1230002701,청운맨션 입주자 대표회의,미사용-열병합 집단용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,0.0,0.0,,유지,Jan-25
1220002701,1230002701,청운맨션 입주자 대표회의,열전용설비용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,0.0,0.0,,유지,Jan-25
1220002701,1230002701,청운맨션 입주자 대표회의,자가열전용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,95981.0,100433.0,4452.0,4.638418020233171,유지,Jan-25
1220002704,1230002701,청운맨션 입주자 대표회의,미사용-열병합,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,0.0,0.0,,유지,Jan-25
1220002704,1230002701,청운맨션 입주자 대표회의,열병합용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,52845.0,52605.0,-240.0,-0.45415838773772355,유지,Jan-25
1220003259,1230003259,주현준,일반용(1),공동주택,공동주택,아파트,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,0.0,0.0,,유지,Jan-25
1220008782,6003114948,화성함바식당,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 신암남로23길 17,35.8819944,128.6274838,,,,,해지,Jan-25
1220008782,6004036609,찬을담따,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 신암남로23길 17,35.8819944,128.6274838,,109.7457,,,신규,Jan-25
