고객명,상품명,용도,업종분류,업종,도로명주소_풀주소,위도,경도,전년동월판매량,당년판매량,증감,증감률,증감범주,상태,비교기준월
 고산건강원,일반용(1),영업용,음식점업,한식점,대구광역시 수성구 시지로 72,35.8381043,128.6955504,,,,,,해지,Jan-25
 삼돌이 왕숯불갈비,일반용(1),영업용,음식점업,한식점,대구광역시 북구 구리로 142-1,35.9468437,128.570687,,,,,,해지,Jan-25
 아리가또맘마,일반용(1),영업용,음식점업,기타 음식점,대구광역시 북구 동천로 132,35.943354,128.5611464,,,,,,해지,Jan-25
 오지고신찜닭,일반용(1),영업용,음식점업,한식점,대구광역시 달서구 월배로40길 38,35.8166438,128.5361929,,,,,,해지,Jan-25
 유가찹쌀전통먹거리(초록미가점),일반용(1),영업용,음식점업,기타 음식점,대구광역시 달성군 현풍읍 테크노중앙대로5길 2-22,35.6980565,128.4548468,6.9237,82.0621,75.1384,1085.234773314846,20% 이상 증가,유지,Jan-25
 주식회사 디데이 푸드,일반용(1),영업용,음식점업,분식점,대구광역시 북구 대천로 100,35.9352542,128.5606892,,,,,,해지,Jan-25
(A플러스)큰가람재가복지센터,업무난방용,단독주택,단독주택,단독주택,대구광역시 북구 관음중앙로 68-1,35.9399045,128.5445828,0.0,0.0,0.0,,,유지,Jan-25
(A플러스)큰가람재가복지센터,일반용(1),단독주택,단독주택,단독주택,대구광역시 북구 관음중앙로 68-1,35.9399045,128.5445828,44.5095,18.7853,-25.724200000000003,-57.79485278423707,20% 이상 감소,유지,Jan-25
(BBQ)칠곡운암점,일반용(1),영업용,음식점업,기타 음식점,대구광역시 북구 구암로 292,35.9371113,128.5675428,,259.0394,,,,신규,Jan-25
(LUCENS HAIR)루센스 헤어,일반용(1),영업용,이.미용업,기타 이.미용업,대구광역시 중구 태평로28길 13,35.8749298,128.5915053,,27.6836,,,,신규,Jan-25
(i)숲담은어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 북구 침산남로9길 41-32,35.892008,128.5817531,,,,,,해지,Jan-25
(win) 모텔,일반용(1),업무용,숙박업,여관업,대구광역시 동구 신암남로 128,35.8810132,128.6298667,,,,,,해지,Jan-25
(win) 모텔,일반용(2),업무용,숙박업,호텔,대구광역시 동구 신암남로 128,35.8810132,128.6298667,,,,,,해지,Jan-25
(국공립) 아이파크 어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 북구 동북로 241,35.8962372,128.6182961,229.4712,248.1637,18.692499999999995,8.145902405181998,정상,유지,Jan-25
(국공립) 이스턴 팰리스 어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 북구 매전로4길 31,35.9056748,128.5448365,237.384,278.8134,41.429400000000015,17.45248205439289,정상,유지,Jan-25
(국공립) 프로그레스 어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 북구 태전로7길 34,35.9229008,128.5422638,,446.8924,,,,신규,Jan-25
(국공립)금호누리어린이집,일반용(1),업무용,교육업,어린이집,대구광역시 북구 내곡로 90,35.9002908,128.5142512,435.204,370.7625,-64.44150000000002,-14.807193867703425,정상,유지,Jan-25
(국공립)로제비앙 어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 북구 동화천로 220,35.9412802,128.6170282,674.5662,558.6155,-115.95069999999998,-17.18892823269236,정상,유지,Jan-25
(국공립)복현이편한세상 어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 북구 동북로 247,35.8951265,128.6198514,241.3404,274.8586,33.518200000000036,13.888350230628621,정상,유지,Jan-25
(국공립)복현자이 어린이집,일반용(1),업무용,교육업,어린이집,대구광역시 북구 공항로 16,35.8974496,128.6184506,313.5447,398.4461,84.90140000000002,27.07792541222991,20% 이상 증가,유지,Jan-25
(국공립)힐스테이트 어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 중구 태평로28길 13,35.8749298,128.5915053,,409.3218,,,,신규,Jan-25
(대구동천동)비비큐,일반용(1),영업용,음식점업,기타 음식점,대구광역시 북구 동천로 53-13,35.9364096,128.5588004,,,,,,해지,Jan-25
(락)하우스,일반용(1),영업용,음식점업,기타 음식점,경상북도 경산시 성암로 57,35.8235986,128.7238254,,,,,,해지,Jan-25
(복)SOS프란치스카의집,냉난방용(업무),업무용,일반빌딩,일반빌딩,대구광역시 동구 방촌로1길 17,35.8882245,128.6578608,2785.3056,4037.8508,1252.5452,44.969758435124675,20% 이상 증가,유지,Jan-25
(복)SOS프란치스카의집,업무난방용,업무용,의료업,요양원,대구광역시 동구 방촌로1길 17,35.8882245,128.6578608,2951.4744,2564.6878,-386.7865999999999,-13.104860404684516,정상,유지,Jan-25
(복)SOS프란치스카의집,업무난방용,업무용,일반빌딩,일반빌딩,대구광역시 동구 방촌로1길 17,35.8882245,128.6578608,0.0,0.0,0.0,,,유지,Jan-25
(복)SOS프란치스카의집,일반용(1),업무용,의료업,요양원,대구광역시 동구 방촌로1길 17,35.8882245,128.6578608,0.0,0.0,0.0,,,유지,Jan-25
(복)SOS프란치스카의집,일반용(1),업무용,일반빌딩,일반빌딩,대구광역시 동구 방촌로1길 17,35.8882245,128.6578608,606.3183,613.9827,7.6644000000000005,1.264088515883489,정상,유지,Jan-25
(복)SOS프란치스카의집,일반용(2),업무용,일반빌딩,일반빌딩,대구광역시 동구 방촌로1길 17,35.8882245,128.6578608,6241.221,5587.1437,-654.0772999999999,-10.479957367316427,정상,유지,Jan-25
(복)대광어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 달서구 용산로4길 32,35.8383539,128.5325366,1309.5684,1002.5418,-307.02660000000014,-23.444869317249875,20% 이상 감소,유지,Jan-25
(복)대구가톨릭사회복지회,일반용(1),업무용,의료업,종합병원,대구광역시 달성군 논공읍 논공로 210,35.7211152,128.4529509,190.8963,197.74,6.8437000000000126,3.5850354354694214,정상,유지,Jan-25
(복)대구가톨릭사회복지회,업무난방용,업무용,종교단체,천주교단체,대구광역시 중구 남산로4길 112,35.8607224,128.5871628,860.517,844.3498,-16.167200000000093,-1.8787775256038048,정상,유지,Jan-25
(복)대구육아원,업무난방용,업무용,교육업,어린이집,대구광역시 수성구 범어천로 57,35.8564969,128.6218218,,,,,,해지,Jan-25
(복)대구육아원,업무난방용,업무용,교육업,어린이집,대구광역시 수성구 청호로46길 5-2,35.8388803,128.6408426,863.4843,649.5759,-213.90839999999992,-24.772702873694392,20% 이상 감소,유지,Jan-25
(복)덕일재단,업무난방용,업무용,교육업,어린이집,대구광역시 수성구 청호로92길 26,35.855567,128.6432623,5249.1537,5418.076,168.92230000000018,3.218086374571203,정상,유지,Jan-25
(복)덕일재단,일반용(1),업무용,교육업,어린이집,대구광역시 수성구 청호로92길 26,35.855567,128.6432623,119.6811,117.6553,-2.025800000000004,-1.6926649237014062,정상,유지,Jan-25
(복)동산어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 수성구 달구벌대로652길 65-6,35.832696,128.7103147,928.7649,690.1125999999999,-238.65230000000008,-25.695663132833737,20% 이상 감소,유지,Jan-25
(복)동산어린이집,일반용(1),업무용,교육업,어린이집,대구광역시 수성구 달구벌대로652길 65-6,35.832696,128.7103147,0.0,0.0,0.0,,,유지,Jan-25
(복)동촌종합사회복지관,일반용(1),업무용,일반빌딩,기타 건물,대구광역시 동구 입석로 5,35.8935077,128.6450799,8.9019,12.8531,3.9512,44.386029948662646,20% 이상 증가,유지,Jan-25
(복)동학어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 남구 자유5길 16,35.8375194,128.5840568,675.5553,,,,,해지,Jan-25
(복)미망인모자복지회,산업용,산업용,제조업,기타제품 제조업,대구광역시 수성구 파동로26길 6,35.8179891,128.615873,,,,,,해지,Jan-25
(복)미망인모자복지회,업무난방용,업무용,일반빌딩,아파트관리소(노인정),대구광역시 수성구 파동로26길 6,35.8179891,128.615873,,,,,,해지,Jan-25
(복)미망인모자복지회,업무난방용,업무용,일반빌딩,일반빌딩,대구광역시 수성구 파동로26길 6,35.8179891,128.615873,0.0,18.7853,18.7853,,,유지,Jan-25
(복)미생회 한나어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 북구 대불서길 5,35.8999026,128.6148168,1123.6176,1038.135,-85.48260000000005,-7.607801800185405,정상,유지,Jan-25
(복)미생회 희망의집,업무난방용,업무용,일반빌딩,기타 건물,대구광역시 북구 대불서길 5,35.8999026,128.6148168,2287.7883,2469.7726,181.98429999999962,7.954595274396657,정상,유지,Jan-25
(복)보물섬어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 남구 대명로49길 9-5,35.84231219999999,128.5824896,505.4301,716.8075,211.37740000000002,41.821292400274544,20% 이상 증가,유지,Jan-25
(복)보물섬어린이집,일반용(1),업무용,교육업,어린이집,대구광역시 남구 대명로49길 9-5,35.84231219999999,128.5824896,0.0,0.0,0.0,,,유지,Jan-25
(복)본영어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 달서구 와룡로2길 16,35.8337973,128.538637,716.1084,623.8697,-92.2387,-12.88054992791594,정상,유지,Jan-25
(복)본영어린이집,일반용(1),업무용,교육업,어린이집,대구광역시 달서구 와룡로2길 16,35.8337973,128.538637,27.6948,39.548,11.853200000000001,42.79937027889712,20% 이상 증가,유지,Jan-25
(복)선산복지재단안식원,업무난방용,업무용,종교단체,기타 종교 단체,대구광역시 북구 복현로20길 13,35.9004932,128.6219852,0.0,0.0,0.0,,,유지,Jan-25
(복)선산복지재단안식원,업무난방용,영업용,기타영업용,기타영업용,대구광역시 북구 복현로20길 13,35.9004932,128.6219852,40.5531,47.4576,6.904499999999999,17.025825399291296,정상,유지,Jan-25
(복)성산복지재단,업무난방용,업무용,의료업,요양원,대구광역시 달서구 진천로3길 80,35.8105292,128.521452,2339.2215,2034.7446,-304.4769000000001,-13.016163710875608,정상,유지,Jan-25
(복)성산복지재단,일반용(1),업무용,의료업,의료업 구내식당,대구광역시 달서구 진천로3길 80,35.8105292,128.521452,1258.1352,1227.9654,-30.169799999999896,-2.397977578244365,정상,유지,Jan-25
(복)아람재단,업무난방용,업무용,교육업,어린이집,대구광역시 북구 태전로1길 3,35.9206025,128.5456543,852.6042,581.3556,-271.2486,-31.81412899443845,20% 이상 감소,유지,Jan-25
(복)어린이재단 대구종합사회복지관,업무난방용,업무용,공공기관,기타 공공기관,대구광역시 동구 율하동로26길 67,35.8700493,128.7096343,54.4005,0.0,-54.4005,-100.0,20% 이상 감소,유지,Jan-25
(복)어린이재단 대구종합사회복지관,일반용(1),업무용,공공기관,기타 공공기관,대구광역시 동구 율하동로26길 67,35.8700493,128.7096343,250.2423,191.8078,-58.434500000000014,-23.351168047927953,20% 이상 감소,유지,Jan-25
(복)천내어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 달성군 화원읍 화원로7길 55,35.805797,128.4965365,518.2884,489.4065,-28.88190000000003,-5.572553813668226,정상,유지,Jan-25
(복)청산어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 동구 송라로3길 13-3,35.8694143,128.6191867,350.1414,510.1692,160.0278,45.703764250671306,20% 이상 증가,유지,Jan-25
(복)청산어린이집,일반용(1),업무용,교육업,어린이집,대구광역시 동구 송라로3길 13-3,35.8694143,128.6191867,14.8365,13.8418,-0.9946999999999999,-6.704411417787213,정상,유지,Jan-25
(복)한국SOS어린이마을,업무난방용,업무용,일반빌딩,일반빌딩,대구광역시 동구 해동로 219,35.8857513,128.6531941,200.78730000000002,263.9829,63.195599999999956,31.473902980915604,20% 이상 증가,유지,Jan-25
(복)한마음어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 북구 대천로9길 11-17,35.9388523,128.5538549,507.4083,561.5816,54.17329999999998,10.67647099978459,정상,유지,Jan-25
(복)한마음어린이집,일반용(1),업무용,교육업,어린이집,대구광역시 북구 대천로9길 11-17,35.9388523,128.5538549,221.5584,310.4518,88.89339999999999,40.121882086167794,20% 이상 증가,유지,Jan-25
(복)호동재단,업무난방용,업무용,교육업,기타 교육업,대구광역시 남구 희망로5길 19,35.8488104,128.6003147,590.4927,663.4177,72.92499999999995,12.349856314904478,정상,유지,Jan-25
(복)호동재단,일반용(1),업무용,교육업,어린이집,대구광역시 남구 희망로5길 19,35.8488104,128.6003147,64.2915,65.2542,0.9626999999999981,1.4973985674622587,정상,유지,Jan-25
(사) 경상북도문우회,업무난방용,단독주택,단독주택,다가구주택,경상북도 경산시 압량읍 대학로75길 7,35.8420134,128.7602917,,,,,,해지,Jan-25
(사) 한국지체장애인협회 달성군장애인재활자립작업장,업무난방용,영업용,기타영업용,기타영업용,대구광역시 달성군 현풍읍 테크노북로4길 27,35.6944933,128.4551713,,,,,,해지,Jan-25
(사)6.25참전유공자대구시서구지회,업무난방용,업무용,일반빌딩,기타 건물,대구광역시 서구 달서로26길 35-8,35.8727765,128.5753302,0.9891,0.0,-0.9891,-100.0,20% 이상 감소,유지,Jan-25
(사)6.25참전유공자회 달서구지회,일반용(1),업무용,일반빌딩,기타 건물,대구광역시 달서구 성서로72길 97-13,35.8499556,128.5127784,1.9782,0.9887,-0.9894999999999999,-50.02022040238601,20% 이상 감소,유지,Jan-25
(사)경상북도장애인부모회경산시지부,업무난방용,업무용,일반빌딩,기타 건물,경상북도 경산시 진량읍 선화로 11,35.8736176,128.7989768,417.4002,312.4292,-104.971,-25.148766100255827,20% 이상 감소,유지,Jan-25
(사)관음재단,업무난방용,업무용,교육업,어린이집,대구광역시 북구 관음중앙로22길 3,35.9432674,128.5457571,4.9455,0.9887,-3.9568,-80.0080881609544,20% 이상 감소,유지,Jan-25
(사)담배인삼공제회,냉난방용(업무),업무용,공공기관,기타 공공기관,대구광역시 남구 대명로 124,35.8391155,128.5709289,9644.0,2615.3558,-7028.644200000001,-72.88100580671922,20% 이상 감소,유지,Jan-25
(사)담배인삼공제회,일반용(2),업무용,공공기관,기타 공공기관,대구광역시 남구 대명로 124,35.8391155,128.5709289,1828.0,1447.0,-381.0,-20.84245076586433,20% 이상 감소,유지,Jan-25
(사)대구경북섬유산업연합회,업무난방용,업무용,공공기관,기타 공공기관,대구광역시 동구 팔공로 227,35.9191994,128.6400249,,,,,,해지,Jan-25
(사)대구경북섬유산업연합회,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 팔공로 227,35.9191994,128.6400249,,,,,,해지,Jan-25
(사)대구경영자협회,업무난방용,업무용,일반빌딩,기타 건물,대구광역시 서구 서대구로 128,35.8693238,128.5554928,,,,,,해지,Jan-25
(사)대구광역시교원단체총연합회,업무난방용,업무용,일반빌딩,일반빌딩,대구광역시 남구 대명로 70,35.8389607,128.5653027,270.0243,0.0,-270.0243,-100.0,20% 이상 감소,유지,Jan-25
(사)대구광역시교원단체총연합회,일반용(1),업무용,일반빌딩,일반빌딩,대구광역시 남구 대명로 70,35.8389607,128.5653027,0.0,0.0,0.0,,,유지,Jan-25
(사)대구광역시지적발달장애인복지협회,업무난방용,업무용,일반빌딩,기타 건물,대구광역시 달서구 월배로83길 74,35.8321044,128.547938,,,,,,해지,Jan-25
(사)대한산업보건협회경북보건센타,업무난방용,업무용,의료업,종합병원,경상북도 경산시 진량읍 공단1로 28,35.873516,128.8219711,131.5503,164.1242,32.57390000000001,24.76155508577328,20% 이상 증가,유지,Jan-25
(사)마하야나불교문화원,냉난방용(업무),업무용,종교단체,불교단체,대구광역시 남구 중앙대로51길 11,35.8562257,128.5897714,,,,,,해지,Jan-25
(사)새롬어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 남구 이천로9길 48,35.8445005,128.5954589,611.2638,651.5533,40.28950000000009,6.5911804363353586,정상,유지,Jan-25
(사)정신대할머니와함께하는시민모임,업무난방용,업무용,일반빌딩,일반빌딩,대구광역시 중구 경상감영길 50,35.871496,128.5953974,231.4494,195.7626,-35.686800000000005,-15.418834527114782,정상,유지,Jan-25
(사)지산어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 수성구 지산로14길 29,35.8264904,128.638121,1786.3146,1771.7504,-14.564200000000028,-0.8153211086109933,정상,유지,Jan-25
(사)지산어린이집,일반용(1),업무용,교육업,어린이집,대구광역시 수성구 지산로14길 29,35.8264904,128.638121,0.0,0.0,0.0,,,유지,Jan-25
(사)천마재단,업무난방용,업무용,교육업,어린이집,대구광역시 북구 학정로48길 39,35.9271563,128.5598686,387.7272,403.3896,15.662399999999991,4.039541203196472,정상,유지,Jan-25
(사)한국가족복지연구소 대구지부 대구가족상담센터,업무난방용,업무용,교육업,기타 교육업,대구광역시 수성구 파동로 151,35.8166333,128.6139963,13.8474,,,,,해지,Jan-25
(사)한국아마추어무선연맹대구광역시지역본부,업무난방용,영업용,기타영업용,기타영업용,대구광역시 서구 통학로30길 3,35.8737951,128.5631962,,7.9096,,,,신규,Jan-25
(사.복)고운어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 수성구 노변공원로7길 6-24,35.8359847,128.698398,1419.3585,1498.8692,79.51070000000004,5.601875776979533,정상,유지,Jan-25
(사.복)고운어린이집,일반용(1),영업용,음식점업,기타 음식점,대구광역시 수성구 노변공원로7길 6-24,35.8359847,128.698398,92.9754,91.9491,-1.026299999999992,-1.103840370678687,정상,유지,Jan-25
